"Freq [GHz]","dB(S(1,1)) []"
4.875,-8.27263663204121
4.8875,-8.33558731746479
4.9,-8.39968549599426
4.9125,-8.46491588667008
4.925,-8.53126112206079
4.9375,-8.59870155603576
4.95,-8.6672150606185
4.9625,-8.73677681163127
4.975,-8.8073590629984
4.9875,-8.87893090961434
5,-8.95145803885388
5.0125,-9.02490247090892
5.025,-9.09922228839689
5.0375,-9.17437135578101
5.05,-9.25029902952804
5.0625,-9.32694986011823
5.075,-9.40426328744169
5.0875,-9.48217333142751
5.1,-9.56060828029221
5.1125,-9.63949037918463
5.125,-9.71873552262075
5.1375,-9.79825295471992
5.15,-9.87794498184115
5.1625,-9.95770670299302
5.175,-10.0374257641109
5.1875,-10.1169821430528
5.2,-10.1962479729745
5.2125,-10.275087412473
5.225,-10.3533565716776
5.2375,-10.4309035040672
5.25,-10.5075682743478
5.2625,-10.5831831131386
5.275,-10.6575726693414
5.2875,-10.7305543709685
5.3,-10.8019389047855
5.3125,-10.8715308243002
5.325,-10.9391292942971
5.3375,-11.0045289784072
5.35,-11.0675210738502
5.3625,-11.1278944946273
5.375,-11.1854372010041
5.3875,-11.2399376692445
5.4,-11.2911864911545
5.4125,-11.3389780883185
5.425,-11.3831125210666
5.4375,-11.4233973672962
5.45,-11.4596496417673
5.4625,-11.4916977223021
5.475,-11.5193832458963
5.4875,-11.5425629355039
5.5,-11.5611103169127
5.5125,-11.5749172854841
5.525,-11.5838954841827
5.5375,-11.587977457656
5.55,-11.5871175518901
5.5625,-11.5812925350133
5.575,-11.5705019221781
5.5875,-11.5547679954112
5.6,-11.5341355177087
5.6125,-11.5086711493098
5.625,-11.4784625820346
5.6375,-11.4436174150628
5.65,-11.4042618017722
5.6625,-11.3605389022642
5.675,-11.312607179749
5.6875,-11.2606385809216
5.7,-11.2048166408314
5.7125,-11.1453345519624
5.725,-11.0823932347867
5.7375,-11.0161994440575
5.75,-10.9469639408498
5.7625,-10.8748997559777
5.775,-10.8002205655386
5.7875,-10.7231391943784
5.8,-10.643866258688
5.8125,-10.562608954416
5.825,-10.4795699942071
5.8375,-10.3949466920835
5.85,-10.3089301921707
5.8625,-10.2217048352527
5.875,-10.1334476552365
5.8875,-10.0443279961432
5.9,-9.95450723934305
5.9125,-9.86413863036447
5.925,-9.77336719432231
5.9375,-9.68232972919968
5.95,-9.5911548666084
5.9625,-9.49996319008618
5.975,-9.40886740168046
5.9875,-9.31797252828471
6,-9.22737615996344
6.0125,-9.13716871325421
6.025,-9.04743371321937
6.0375,-8.95824808881309
6.05,-8.8696824767605
6.0625,-8.78180152988043
6.075,-8.69466422634852
6.0875,-8.60832417702148
6.1,-8.52282992834135
6.1125,-8.43822525890914
6.125,-8.35454946812155
6.1375,-8.27183765565644
6.15,-8.19012099088501
6.1625,-8.10942697156125
6.175,-8.02977967131375
6.1875,-7.95119997571311
6.2,-7.87370580681568
6.2125,-7.79731233619804
6.225,-7.72203218661124
6.2375,-7.64787562252295
6.25,-7.57485072975711
6.2625,-7.50296358463855
6.275,-7.43221841296403
6.2875,-7.36261773925543
6.3,-7.2941625266512
6.3125,-7.22685230792794
6.325,-7.1606853080419
6.3375,-7.09565855865087
6.35,-7.03176800502971
6.3625,-6.96900860579685
6.375,-6.90737442586939
6.3875,-6.8468587230378
6.4,-6.78745402852828
6.4125,-6.72915222193343
6.425,-6.67194460084804
6.4375,-6.6158219455447
6.45,-6.56077457899922
6.4625,-6.50679242257286
6.475,-6.45386504762584
6.4875,-6.40198172331834
6.5,-6.35113146088153
6.5125,-6.30130305454872
6.525,-6.25248511940235
6.5375,-6.20466612633624
6.55,-6.15783443430923
6.5625,-6.11197832009542
6.575,-6.06708600569101
6.5875,-6.02314568353002
6.6,-5.98014553966386
6.6125,-5.93807377504858
6.625,-5.89691862505029
6.6375,-5.85666837730694
6.65,-5.81731138805177
6.6625,-5.77883609699322
6.675,-5.74123104086605
6.6875,-5.70448486572275
6.7,-5.66858633807106
6.7125,-5.63352435491364
6.725,-5.59928795277269
6.7375,-5.56586631577195
6.75,-5.5332487828263
6.7625,-5.50142485400101
6.775,-5.47038419610152
6.7875,-5.44011664753035
6.8,-5.41061222246856
6.8125,-5.38186111441975
6.825,-5.35385369915396
6.8375,-5.32658053709957
6.85,-5.30003237519666
6.8625,-5.27420014827164
6.875,-5.24907497993979
6.8875,-5.22464818306881
6.9,-5.20091125984485
6.9125,-5.17785590144153
6.925,-5.15547398733079
6.9375,-5.13375758425014
6.95,-5.11269894485613
6.9625,-5.0922905060606
6.975,-5.07252488709711
6.9875,-5.05339488730813
7,-5.03489348368824
